,Transporteur,Gare origine,Gare origine - code UIC,Destination,Gare destination - code UIC,Classe,Profil tarifaire,Prix minimum,Prix maximum
10365,TGV INOUI,STRASBOURG,87212027,MARNE LA VALLEE CHESSY,87111849,2,Tarif Elève - Etudiant - Apprenti,13.0,13.0
10371,TGV INOUI,LAVAL,87478404,MARNE LA VALLEE CHESSY,87111849,2,Tarif Elève - Etudiant - Apprenti,9.0,9.0
10377,TGV INOUI,CHAMPAGNE-ARDENNE,87171926,MARNE LA VALLEE CHESSY,87111849,2,Tarif Elève - Etudiant - Apprenti,5.0,5.0
10379,TGV INOUI,MARNE LA VALLEE CHESSY,87111849,BOURG ST MAURICE,87741793,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
10381,TGV INOUI,BEZIERS,87781005,MARNE LA VALLEE CHESSY,87111849,2,Tarif Elève - Etudiant - Apprenti,15.0,15.0
10389,TGV INOUI,MARNE LA VALLEE CHESSY,87111849,AEROPORT CDG2 TGV ROISSY,87271494,2,Tarif Elève - Etudiant - Apprenti,4.0,4.0
10397,TGV INOUI,METZ VILLE,87192039,PARIS EST,87113001,2,Tarif Elève - Etudiant - Apprenti,18.0,18.0
10403,TGV INOUI,MARNE LA VALLEE CHESSY,87111849,ST GERVAIS LES BAINS LE FAYET,87746479,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
10405,TGV INOUI,DIJON VILLE,87713040,NANCY,87141002,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
10407,TGV INOUI,MARNE LA VALLEE CHESSY,87111849,ANNEMASSE,87745497,2,Tarif Elève - Etudiant - Apprenti,13.0,13.0
10409,TGV INOUI,EPINAL,87144006,PARIS EST,87113001,2,Tarif Elève - Etudiant - Apprenti,18.0,18.0
10413,TGV INOUI,MARNE LA VALLEE CHESSY,87111849,NARBONNE,87781104,2,Tarif Elève - Etudiant - Apprenti,15.0,15.0
10415,TGV INOUI,PARIS EST,87113001,CHARLEVILLE MEZIERES,87172007,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
10419,TGV INOUI,PARIS EST,87113001,THIONVILLE,87191007,2,Tarif Elève - Etudiant - Apprenti,20.0,20.0
10423,TGV INOUI,CHAMPAGNE-ARDENNE,87171926,NANCY,87141002,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
10429,TGV INOUI,NANCY,87141002,BESANCON - F COMTE TGV,87300863,2,Tarif Elève - Etudiant - Apprenti,18.0,18.0
10435,TGV INOUI,NANCY,87141002,REMIREMONT,87144451,2,Tarif Elève - Etudiant - Apprenti,12.0,12.0
10437,TGV INOUI,NANCY,87141002,MARSEILLE ST CHARLES,87751008,2,Tarif Elève - Etudiant - Apprenti,15.0,15.0
10439,TGV INOUI,NANCY,87141002,CANNES,87757625,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
10443,TGV INOUI,MASSY TGV,87393702,LORRAINE TGV,87142109,2,Tarif Elève - Etudiant - Apprenti,9.0,9.0
10447,TGV INOUI,LORRAINE TGV,87142109,ARRAS,87342014,2,Tarif Elève - Etudiant - Apprenti,12.0,12.0
10449,TGV INOUI,METZ VILLE,87192039,MEUSE TGV,87147322,2,Tarif Elève - Etudiant - Apprenti,3.0,3.0
10453,TGV INOUI,MARNE LA VALLEE CHESSY,87111849,MARSEILLE ST CHARLES,87751008,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
10459,TGV INOUI,MARNE LA VALLEE CHESSY,87111849,VALENCE TGV RHONE-ALPES SUD,87763029,2,Tarif Elève - Etudiant - Apprenti,12.0,12.0
