Transporteur;Gare origine;Gare origine - code UIC;Destination;Gare destination - code UIC;Classe;Profil tarifaire;Prix minimum;Prix maximum
OUIGO;AEROPORT CDG2 TGV ROISSY;87271494;MARSEILLE ST CHARLES;87751008;2;Tarif Normal;16.0;99.0
OUIGO;AEROPORT CDG2 TGV ROISSY;87271494;MONTPELLIER SUD DE FRANCE;87688887;2;Tarif Normal;16.0;99.0
OUIGO;AIX EN PROVENCE TGV;87319012;LYON-SAINT EXUPERY TGV;87762906;2;Tarif Normal;10.0;69.0
OUIGO;MARNE LA VALLEE CHESSY;87111849;AIX EN PROVENCE TGV;87319012;2;Tarif Normal;16.0;99.0
OUIGO;MARNE LA VALLEE CHESSY;87111849;POITIERS;87575001;2;Tarif Normal;10.0;79.0
OUIGO;MASSY TGV;87393702;TOULOUSE MATABIAU;87611004;2;Tarif Normal;16.0;99.0
OUIGO;MASSY TGV;87393702;MONTAUBAN VILLE BOURBON;87611244;2;Tarif Normal;16.0;99.0
OUIGO;AEROPORT CDG2 TGV ROISSY;87271494;TGV HAUTE PICARDIE;87313882;2;Tarif Normal;10.0;45.0
OUIGO;TOURCOING;87286542;MASSY TGV;87393702;2;Tarif Normal;10.0;59.0
OUIGO;PARIS GARE DE LYON;87686006;LES ARCS DRAGUIGNAN;87755447;2;Tarif Normal;19.0;99.0
OUIGO;ANGOULEME;87583005;AGEN;87586008;2;Tarif Normal;10.0;45.0
OUIGO;MARNE LA VALLEE CHESSY;87111849;AVIGNON TGV;87318964;2;Tarif Normal;16.0;99.0
OUIGO;AIX EN PROVENCE TGV;87319012;PARIS GARE DE LYON;87686006;2;Tarif Normal;19.0;99.0
OUIGO;METZ VILLE;87192039;STRASBOURG;87212027;2;Tarif Normal;10.0;39.0
OUIGO;TOULON;87755009;ANTIBES;87757674;2;Tarif Normal;10.0;25.0
OUIGO;PARIS MONTPARNASSE 1 ET 2;87391003;LE MANS;87396002;2;Tarif Normal;16.0;59.0
OUIGO;TGV HAUTE PICARDIE;87313882;ST PIERRE DES CORPS;87571240;2;Tarif Normal;16.0;95.0
OUIGO;MARNE LA VALLEE CHESSY;87111849;BORDEAUX ST JEAN;87581009;2;Tarif Normal;16.0;99.0
OUIGO TRAIN CLASSIQUE;VERSAILLES CHANTIERS;87393009;NANTES;87481002;2;Tarif Normal;10.0;49.0
OUIGO;VALENCE TGV RHONE-ALPES SUD;87763029;MONTPELLIER SAINT-ROCH;87773002;2;Tarif Normal;10.0;49.0
OUIGO;AEROPORT CDG2 TGV ROISSY;87271494;VALENCE TGV RHONE-ALPES SUD;87763029;2;Tarif Normal;16.0;99.0
OUIGO TRAIN CLASSIQUE;NANTES;87481002;PARIS AUSTERLITZ;87547000;2;Tarif Normal;10.0;49.0
OUIGO;MARNE LA VALLEE CHESSY;87111849;LYON PART DIEU;87723197;2;Tarif Normal;10.0;99.0
OUIGO;POITIERS;87575001;BORDEAUX ST JEAN;87581009;2;Tarif Normal;10.0;49.0
OUIGO;NIMES PONT DU GARD;87703975;LYON-SAINT EXUPERY TGV;87762906;2;Tarif Normal;10.0;59.0
OUIGO;TOULON;87755009;CANNES;87757625;2;Tarif Normal;10.0;25.0
OUIGO;ST PIERRE DES CORPS;87571240;BORDEAUX ST JEAN;87581009;2;Tarif Normal;10.0;59.0
OUIGO TRAIN CLASSIQUE;LYON PERRACHE;87722025;PARIS AUSTERLITZ;87547000;2;Tarif Normal;10.0;49.0
