Transporteur,Gare origine,Origine_uic,Destination,Destination_uic,Classe,Profil tarifaire,Prix minimum,Prix maximum,Distance entre les gares,Prix_min_km,Prix_max_km,Prix_min_total,Prix_max_total
OUIGO,MARNE LA VALLEE CHESSY,87111849,AIX EN PROVENCE TGV,87319012,2,Tarif Normal,16.0,99.0,720,0.022222222222222223,0.1375,16.0,99.00000000000001
OUIGO,MARNE LA VALLEE CHESSY,87111849,AVIGNON TGV,87318964,2,Tarif Normal,16.0,99.0,646,0.02476780185758514,0.15325077399380804,16.0,99.0
OUIGO,METZ VILLE,87192039,STRASBOURG,87212027,2,Tarif Normal,10.0,39.0,147,0.06802721088435375,0.2653061224489796,10.000000000000002,39.0
TGV INOUI,METZ VILLE,87192039,STRASBOURG,87212027,1,Tarif Normal,17.0,65.0,147,0.11564625850340136,0.4421768707482993,17.0,65.0
TGV INOUI,METZ VILLE,87192039,STRASBOURG,87212027,2,Tarif Normal,15.0,44.0,147,0.10204081632653061,0.29931972789115646,15.0,44.0
TGV INOUI,METZ VILLE,87192039,STRASBOURG,87212027,2,Tarif Réglementé,36.4,42.0,147,0.2476190476190476,0.2857142857142857,36.4,42.0
TGV INOUI,METZ VILLE,87192039,STRASBOURG,87212027,1,Tarif Réglementé,59.0,59.0,147,0.4013605442176871,0.4013605442176871,59.0,59.0
TGV INOUI,METZ VILLE,87192039,STRASBOURG,87212027,1,Tarif Elève - Etudiant - Apprenti,21.0,21.0,147,0.14285714285714285,0.14285714285714285,21.0,21.0
TGV INOUI,METZ VILLE,87192039,STRASBOURG,87212027,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0,147,0.09523809523809523,0.09523809523809523,14.0,14.0
OUIGO,PARIS MONTPARNASSE 1 ET 2,87391003,LE MANS,87396002,2,Tarif Normal,16.0,59.0,202,0.07920792079207921,0.29207920792079206,16.0,58.99999999999999
TGV INOUI,PARIS EST,87113001,REIMS,87171009,2,Tarif Réglementé,36.4,45.0,146,0.2493150684931507,0.3082191780821918,36.4,45.0
TGV INOUI,PARIS EST,87113001,REIMS,87171009,1,Tarif Réglementé,62.0,62.0,146,0.4246575342465753,0.4246575342465753,62.0,62.0
TGV INOUI,PARIS EST,87113001,REIMS,87171009,1,Tarif Normal,17.0,70.0,146,0.11643835616438356,0.4794520547945205,17.0,70.0
TGV INOUI,PARIS EST,87113001,REIMS,87171009,2,Tarif Normal,15.0,47.0,146,0.10273972602739725,0.3219178082191781,15.0,47.0
TGV INOUI,PARIS EST,87113001,REIMS,87171009,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0,146,0.0958904109589041,0.0958904109589041,14.0,14.0
TGV INOUI,PARIS EST,87113001,REIMS,87171009,1,Tarif Elève - Etudiant - Apprenti,21.0,21.0,146,0.14383561643835616,0.14383561643835616,21.0,21.0
OUIGO,PARIS MONTPARNASSE 1 ET 2,87391003,BORDEAUX ST JEAN,87581009,2,Tarif Normal,19.0,99.0,537,0.035381750465549346,0.18435754189944134,19.0,99.0
OUIGO,PARIS MONTPARNASSE 1 ET 2,87391003,NANTES,87481002,2,Tarif Normal,16.0,85.0,386,0.04145077720207254,0.22020725388601037,16.0,85.0
OUIGO,PARIS MONTPARNASSE 1 ET 2,87391003,ANGERS ST LAUD,87484006,2,Tarif Normal,16.0,75.0,303,0.052805280528052806,0.24752475247524752,16.0,75.0
